"Steps"	"weightUpdate"	"Level"	"PotentialEnergy"	"1 Weight"	"0.75 Weight"	"0.5 Weight"	"0.3 Weight"	"0.1 Weight"	"0.05 Weight"	"0.01 Weight"	"0.005 Weight"	"0.001 Weight"	"0 Weight"
3219000	0.015625	0	-12233.4	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-5
3220000	0.015625	0	-12201.3	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-5
3221000	0.015625	0	-12441.6	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-5.01562
3222000	0.015625	0	-12481.9	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-5.03125
3223000	0.015625	0	-12439.6	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-5.03125
3224000	0.015625	0	-12466.5	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-5.04688
3225000	0.015625	0	-12522.4	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-5.0625
3226000	0.015625	0	-12420.3	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-5.0625
3227000	0.015625	0	-12485.4	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-5.07812
3228000	0.015625	0	-12362.3	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-5.09375
3229000	0.015625	0	-12407.1	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-5.09375
3230000	0.015625	0	-12262.9	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.5	-5.10938
3231000	0.015625	0.001	-12339.6	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.51562	-5.10938
3232000	0.015625	0.001	-12454.3	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.96875	-2.51562	-5.10938
3233000	0.015625	0.005	-12388.3	0	1.34375	2.53125	2.79688	2.46875	1.82812	-0.265625	-0.984375	-2.51562	-5.10938
3234000	0.015625	0.05	-12393.8	0	1.34375	2.53125	2.79688	2.46875	1.8125	-0.265625	-0.984375	-2.51562	-5.10938
3235000	0.015625	0.05	-12344.9	0	1.34375	2.53125	2.79688	2.46875	1.8125	-0.265625	-0.984375	-2.51562	-5.10938
3236000	0.015625	0.05	-12490.2	0	1.34375	2.53125	2.79688	2.46875	1.79688	-0.265625	-0.984375	-2.51562	-5.10938
3237000	0.015625	0.3	-12391.6	0	1.34375	2.53125	2.78125	2.46875	1.79688	-0.265625	-0.984375	-2.51562	-5.10938
3238000	0.015625	0.3	-12517.6	0	1.34375	2.53125	2.78125	2.46875	1.79688	-0.265625	-0.984375	-2.51562	-5.10938
3239000	0.015625	0.3	-12552.9	0	1.34375	2.53125	2.76562	2.46875	1.79688	-0.265625	-0.984375	-2.51562	-5.10938
3240000	0.015625	0.3	-12592	0	1.34375	2.53125	2.75	2.46875	1.79688	-0.265625	-0.984375	-2.51562	-5.10938
3241000	0.015625	0.3	-12638.6	0	1.34375	2.53125	2.75	2.46875	1.79688	-0.265625	-0.984375	-2.51562	-5.10938
3242000	0.015625	1	-12577.1	0	1.35938	2.54688	2.76562	2.48438	1.8125	-0.25	-0.96875	-2.5	-5.09375
3243000	0.015625	0.5	-12284.7	0	1.35938	2.53125	2.76562	2.48438	1.8125	-0.25	-0.96875	-2.5	-5.09375
3244000	0.015625	0.5	-12531.1	0	1.35938	2.53125	2.76562	2.48438	1.8125	-0.25	-0.96875	-2.5	-5.09375
3245000	0.015625	1	-12359.8	0	1.375	2.54688	2.78125	2.5	1.82812	-0.234375	-0.953125	-2.48438	-5.07812
3246000	0.015625	1	-12508.4	0	1.39062	2.5625	2.79688	2.51562	1.84375	-0.21875	-0.9375	-2.46875	-5.0625
3247000	0.015625	1	-12345.8	0	1.39062	2.5625	2.79688	2.51562	1.84375	-0.21875	-0.9375	-2.46875	-5.0625
3248000	0.015625	0.3	-12476.8	0	1.39062	2.5625	2.78125	2.51562	1.84375	-0.21875	-0.9375	-2.46875	-5.0625
3249000	0.015625	0.3	-12306.7	0	1.39062	2.5625	2.76562	2.51562	1.84375	-0.21875	-0.9375	-2.46875	-5.0625
3250000	0.015625	0.3	-12524.3	0	1.39062	2.5625	2.76562	2.51562	1.84375	-0.21875	-0.9375	-2.46875	-5.0625
3251000	0.015625	0.5	-12603.8	0	1.39062	2.54688	2.76562	2.51562	1.84375	-0.21875	-0.9375	-2.46875	-5.0625
3252000	0.015625	0.5	-12513.8	0	1.39062	2.53125	2.76562	2.51562	1.84375	-0.21875	-0.9375	-2.46875	-5.0625
3253000	0.015625	0.5	-12435.1	0	1.39062	2.53125	2.76562	2.51562	1.84375	-0.21875	-0.9375	-2.46875	-5.0625
3254000	0.015625	0.5	-12410.8	0	1.39062	2.51562	2.76562	2.51562	1.84375	-0.21875	-0.9375	-2.46875	-5.0625
3255000	0.015625	0.75	-12538.6	0	1.375	2.51562	2.76562	2.51562	1.84375	-0.21875	-0.9375	-2.46875	-5.0625
3256000	0.015625	0.75	-12677	0	1.375	2.51562	2.76562	2.51562	1.84375	-0.21875	-0.9375	-2.46875	-5.0625
